Titulo, Autores, Orientador, Co-Orientar, Palavras-Chave, Resumo, Area da Poc
“Improving Rule Based and Equivalent Decision Simplifications for Bloat Control in Genetic Programming Using a Dynamic Operator”,"Gustavo Ferreira Viegas de Oliveira","Marcus Henrique Soares Mendes","","Genetic, Programming","Primeira Poc","CIENCIA DA COMPUTAÇÃO"
"Analisando a associação entre tweets geolocalizados próximos a hospitais e a ocorrência de casos de COVID-19","Bruno Marra de Melo","Fabrício Aguiar Silva","","tweets, geolocalizados","Ocorrência de casos de COVID-19","CIENCIA DA COMPUTAÇÃO"
"Uma análise da aprovação do presidente Jair Bolsonaro ao longo da pandemia de COVID-19 baseada nas transcrições de vídeos do YouTube","Paulo Henrique Pimentel Marcolino","Daniel Mendes Barbosa","","","",""
"Meta-Game: Um Jogo Sério para Auxiliar o Ensino de Algoritmos Genéticos","Jose Grigorio Neto","Daniel Mendes Barbosa","","","",""
"VocacioEneagrama: um teste vocacional automatizado baseado em Eneagrama","Athena Fernandes Sarantôpoulos","Daniel Mendes Barbosa","","","",""
"Observer e Concrete Factory aplicáveis à arquitetura de um laboratório virtual de aprendizagem desenvolvido em Unit 3D","Caio Augusto Moreira Campos","Gláucia Braga e Silva","","","",""
"Stone Game: Uma abordagem gamificada para o aprendizado de Cálculo Diferencial e Integral I","Heitor Passeado Soares","Daniel Mendes Barbosa","","","",""
"PyFOT -A Python Framework for Optimizing and Tuning","Daniel Freitas Martins","Marcus Henrique Soares Mendes","","","",""
"Detecção e reconhecimento de animais em vídeos de segurança utilizando técnicas de processamento de imagens","Adriano Marques Martins","","Antônio Carlos Fava de Barros","","",""
